Rythme machine : 20 respiration / min
Rythme inspiration spontanée : 12 respiration / min

temps (ms), commande pression (mmH2O), pression mesurée(mmH2O)
430975,100,96
430985,100,96
430995,100,96
431005,100,96
431015,100,96
431025,100,96
431035,100,95
431045,100,95
431055,100,95
431065,100,95
431075,100,96
431085,100,96
431095,100,96
431105,100,97
431115,100,96
431125,100,96
431135,100,96
431145,100,96
431155,100,95
431165,100,95
431175,270,95
431185,270,96
431195,270,96
431205,270,96
431215,270,97
431225,270,98
431235,270,98
431245,270,98
431255,270,98
431265,270,99
431275,270,99
431285,270,98
431295,270,98
431305,270,98
431315,270,98
431325,270,98
431335,270,98
431345,270,98
431355,270,132
431365,270,107
431375,270,157
431385,270,152
431395,270,167
431405,270,191
431415,270,183
431425,270,201
431435,270,201
431445,270,215
431455,270,212
431465,270,218
431475,270,229
431485,270,233
431495,270,235
431505,270,233
431515,270,238
431525,270,241
431535,270,241
431545,270,244
431555,270,239
431565,270,249
431575,270,250
431585,270,245
431595,270,254
431605,250,263
431615,250,256
431625,250,254
431635,250,257
431645,250,265
431655,250,274
431665,250,265
431675,250,259
431685,250,274
431695,250,265
431705,250,273
431715,250,261
431725,250,268
431735,250,257
431745,250,250
431755,250,246
431765,250,245
431775,250,227
431785,250,226
431795,250,214
431805,250,207
431815,250,205
431825,250,204
431835,250,202
431845,250,201
431855,250,204
431865,250,203
431875,250,206
431885,250,205
431895,250,206
431905,250,205
431915,250,205
431925,250,205
431935,250,206
431945,250,205
431955,250,206
431965,250,206
431975,250,205
431985,250,206
431995,250,205
432005,250,205
432015,250,206
432025,250,205
432035,250,206
432045,250,206
432055,250,206
432065,250,205
432075,250,205
432085,250,205
432095,250,205
432105,250,205
432115,250,205
432125,250,205
432135,250,207
432145,250,205
432155,250,205
432165,250,205
432175,100,206
432185,100,206
432195,100,205
432205,100,205
432215,100,205
432225,100,205
432235,100,205
432245,100,206
432255,100,205
432265,100,205
432275,100,205
432285,100,205
432295,100,205
432305,100,205
432315,100,205
432325,100,205
432335,100,205
432345,100,204
432355,100,203
432365,100,184
432375,100,179
432385,100,162
432395,100,157
432405,100,149
432415,100,148
432425,100,141
432435,100,142
432445,100,137
432455,100,140
432465,100,138
432475,100,139
432485,100,141
432495,100,140
432505,100,141
432515,100,141
432525,100,138
432535,100,138
432545,100,137
432555,100,136
432565,100,134
432575,100,134
432585,100,134
432595,100,134
432605,100,133
432615,100,134
432625,100,131
432635,100,132
432645,100,131
432655,100,131
432665,100,129
432675,100,129
432685,100,128
432695,100,127
432705,100,127
432715,100,127
432725,100,127
432735,100,126
432745,100,125
432755,100,125
432765,100,124
432775,100,123
432785,100,123
432795,100,121
432805,100,120
432815,100,122
432825,100,121
432835,100,121
432845,100,121
432855,100,121
432865,100,119
432875,100,119
432885,100,118
432895,100,116
432905,100,116
432915,100,115
432925,100,115
432935,100,117
432945,100,117
432955,100,118
432965,100,118
432975,100,117
432985,100,116
432995,100,115
433005,100,114
433015,100,113
433025,100,112
433035,100,112
433045,100,112
433055,100,112
433065,100,112
433075,100,113
433085,100,112
433095,100,111
433105,100,112
433115,100,110
433125,100,111
433135,100,109
433145,100,110
433155,100,109
433165,100,109
433175,100,108
433185,100,108
433195,100,108
433205,100,107
433215,100,109
433225,100,107
433235,100,108
433245,100,105
433255,100,107
433265,100,105
433275,100,105
433285,100,105
433295,100,104
433305,100,105
433315,100,103
433325,100,106
433335,100,103
433345,100,105
433355,100,103
433365,100,104
433375,100,103
433385,100,102
433395,100,102
433405,100,102
433415,100,102
433425,100,102
433435,100,102
433445,100,102
433455,100,102
433465,100,103
433475,100,101
433485,100,101
433495,100,99
433505,100,99
433515,100,99
433525,100,98
433535,100,100
433545,100,99
433555,100,99
433565,100,100
433575,100,99
433585,100,99
433595,100,99
433605,100,98
433615,100,98
433625,100,98
433635,100,98
433645,100,97
433655,100,98
433665,100,98
433675,100,98
433685,100,98
433695,100,98
433705,100,97
433715,100,98
433725,100,97
433735,100,97
433745,100,95
433755,100,94
433765,100,96
433775,100,95
433785,100,96
433795,100,95
433805,100,97
433815,100,96
433825,100,96
433835,100,98
433845,100,95
433855,100,97
433865,100,95
433875,100,95
433885,100,95
433895,100,95
433905,100,96
433915,100,95
433925,100,97
433935,100,98
433945,100,96
433955,100,97
433965,100,96
433975,100,96
433985,100,95
433995,100,95
434005,100,95
434015,100,96
434025,100,96
434035,100,96
434045,100,96
434055,100,96
434065,100,96
434075,100,95
434085,100,96
434095,100,95
434105,100,95
434115,100,95
434125,100,95
434135,100,96
434145,100,95
434155,100,97
434165,100,97
434175,270,96
434185,270,97
434195,270,97
434205,270,96
434215,270,97
434225,270,98
434235,270,98
434245,270,98
434255,270,98
434265,270,98
434275,270,98
434285,270,98
434295,270,98
434305,270,97
434315,270,98
434325,270,98
434335,270,98
434345,270,97
434355,270,134
434365,270,112
434375,270,155
434385,270,161
434395,270,167
434405,270,180
434415,270,182
434425,270,198
434435,270,197
434445,270,206
434455,270,211
434465,270,211
434475,270,223
434485,270,212
434495,270,229
434505,270,220
434515,270,235
434525,270,220
434535,270,227
434545,270,221
434555,270,242
434565,270,233
434575,270,229
434585,270,247
434595,270,237
434605,270,244
434615,270,243
434625,270,252
434635,270,244
434645,270,249
434655,270,255
434665,270,248
434675,270,259
434685,270,249
434695,250,266
434705,250,263
434715,250,268
434725,250,266
434735,250,273
434745,250,264
434755,250,273
434765,250,270
434775,250,280
434785,250,264
434795,250,281
434805,250,273
434815,250,266
434825,250,263
434835,250,260
434845,250,253
434855,250,255
434865,250,248
434875,250,231
434885,250,234
434895,250,220
434905,250,219
434915,250,220
434925,250,218
434935,250,217
434945,250,220
434955,250,220
434965,250,224
434975,250,222
434985,250,225
434995,250,224
435005,250,226
435015,250,226
435025,250,227
435035,250,227
435045,250,227
435055,250,228
435065,250,228
435075,250,229
435085,250,230
435095,250,230
435105,250,230
435115,250,231
435125,250,231
435135,250,231
435145,250,231
435155,250,231
435165,250,231
435175,100,231
435185,100,229
435195,100,231
435205,100,230
435215,100,232
435225,100,231
435235,100,231
435245,100,231
435255,100,232
435265,100,231
435275,100,231
435285,100,231
435295,100,230
435305,100,232
435315,100,231
435325,100,231
435335,100,231
435345,100,231
435355,100,229
435365,100,210
435375,100,205
435385,100,187
435395,100,183
435405,100,170
435415,100,164
435425,100,161
435435,100,156
435445,100,155
435455,100,154
435465,100,151
435475,100,152
435485,100,152
435495,100,152
435505,100,152
435515,100,151
435525,100,153
435535,100,150
435545,100,149
435555,100,150
435565,100,147
435575,100,148
435585,100,145
435595,100,144
435605,100,145
435615,100,141
435625,100,142
435635,100,141
435645,100,141
435655,100,140
435665,100,138
435675,100,140
435685,100,135
435695,100,140
435705,100,134
435715,100,138
435725,100,132
435735,100,135
435745,100,130
435755,100,132
435765,100,129
435775,100,130
435785,100,129
435795,100,129
435805,100,130
435815,100,130
435825,100,129
435835,100,127
435845,100,129
435855,100,127
435865,100,127
435875,100,127
435885,100,126
435895,100,124
435905,100,123
435915,100,122
435925,100,123
435935,100,122
435945,100,122
435955,100,123
435965,100,122
435975,100,120
435985,100,121
435995,100,120
436005,100,119
436015,100,119
436025,100,118
436035,100,118
436045,100,119
436055,100,118
436065,100,117
436075,100,118
436085,100,118
436095,100,115
436105,100,116
436115,100,114
436125,100,114
436135,100,114
436145,100,113
436155,100,113
436165,100,114
436175,100,114
436185,100,113
436195,100,113
436205,100,113
436215,100,112
436225,100,112
436235,100,110
436245,100,111
436255,100,109
436265,100,110
436275,100,109
436285,100,108
436295,100,110
436305,100,110
436315,100,109
436325,100,109
436335,100,110
436345,100,108
436355,100,109
436365,100,105
436375,100,107
436385,100,105
436395,100,108
436405,100,104
436415,100,106
436425,100,105
436435,100,105
436445,100,105
436455,100,105
436465,100,105
436475,100,105
436485,100,103
436495,100,103
436505,100,103
436515,100,102
436525,100,103
436535,100,103
436545,100,102
436555,100,102
436565,100,103
436575,100,101
436585,100,102
436595,100,101
436605,100,100
436615,100,101
436625,100,101
436635,100,100
436645,100,100
436655,100,102
436665,100,100
436675,100,100
436685,100,100
436695,100,99
436705,100,99
436715,100,99
436725,100,98
436735,100,98
436745,100,98
436755,100,98
436765,100,99
436775,100,100
436785,100,98
436795,100,98
436805,100,98
436815,100,98
436825,100,98
436835,100,97
436845,100,97
436855,100,97
436865,100,96
436875,100,98
436885,100,96
436895,100,96
436905,100,97
436915,100,96
436925,100,96
436935,100,95
436945,100,96
436955,100,95
436965,100,96
436975,100,96
436985,100,97
436995,100,98
437005,100,96
437015,100,98
437025,100,96
437035,100,97
437045,100,97
437055,100,96
437065,100,96
437075,100,95
437085,100,96
437095,100,96
437105,100,96
437115,100,96
437125,100,96
437135,100,96
437145,100,96
437155,100,96
437165,100,96
437175,270,95
437185,270,95
437195,270,96
437205,270,96
437215,270,96
437225,270,98
437235,270,99
437245,270,99
437255,270,102
437265,270,99
437275,270,99
437285,270,99
437295,270,99
437305,270,98
437315,270,98
437325,270,98
437335,270,98
437345,270,98
437355,270,132
437365,270,111
437375,270,156
437385,270,157
437395,270,176
437405,270,187
437415,270,190
437425,270,205
437435,270,203
437445,270,218
437455,270,220
437465,270,222
437475,270,227
437485,270,226
437495,270,231
437505,270,241
437515,270,234
437525,270,235
437535,270,247
437545,270,238
437555,270,247
437565,270,251
437575,270,244
437585,270,250
437595,270,257
437605,270,255
437615,270,259
437625,270,253
437635,250,265
437645,250,268
437655,250,262
437665,250,264
437675,250,265
437685,250,275
437695,250,269
437705,250,289
437715,250,271
437725,250,276
437735,250,273
437745,250,269
437755,250,265
437765,250,259
437775,250,254
437785,250,251
437795,250,244
437805,250,237
437815,250,233
437825,250,227
437835,250,214
437845,250,213
437855,250,212
437865,250,210
437875,250,209
437885,250,212
437895,250,212
437905,250,214
437915,250,214
437925,250,215
437935,250,214
437945,250,215
437955,250,214
437965,250,213
437975,250,213
437985,250,212
437995,250,213
438005,250,213
438015,250,213
438025,250,213
438035,250,213
438045,250,213
438055,250,214
438065,250,214
438075,250,214
438085,250,213
438095,250,214
438105,250,213
438115,250,213
438125,250,214
438135,250,213
438145,250,213
438155,250,214
438165,250,213
438175,100,214
438185,100,213
438195,100,213
438205,100,214
438215,100,212
438225,100,213
438235,100,214
438245,100,214
438255,100,213
438265,100,214
438275,100,213
438285,100,213
438295,100,212
438305,100,212
438315,100,214
438325,100,214
438335,100,213
438345,100,213
438355,100,214
438365,100,194
438375,100,187
438385,100,170
438395,100,163
438405,100,156
438415,100,153
438425,100,145
438435,100,147
438445,100,140
438455,100,141
438465,100,140
438475,100,140
438485,100,139
438495,100,141
438505,100,142
438515,100,144
438525,100,145
438535,100,142
438545,100,143
438555,100,141
438565,100,141
438575,100,137
438585,100,137
438595,100,136
438605,100,134
438615,100,136
438625,100,133
438635,100,135
438645,100,134
438655,100,133
438665,100,131
438675,100,134
438685,100,131
438695,100,132
438705,100,131
438715,100,129
438725,100,129
438735,100,127
438745,100,127
438755,100,127
438765,100,125
438775,100,127
438785,100,125
438795,100,126
438805,100,125
438815,100,124
438825,100,124
438835,100,123
438845,100,123
438855,100,122
438865,100,121
438875,100,121
438885,100,121
438895,100,119
438905,100,119
438915,100,119
438925,100,119
438935,100,119
438945,100,119
438955,100,118
438965,100,118
438975,100,115
438985,100,115
438995,100,116
439005,100,116
439015,100,114
439025,100,115
439035,100,114
439045,100,114
439055,100,114
439065,100,113
439075,100,114
439085,100,112
439095,100,112
439105,100,112
439115,100,111
439125,100,111
439135,100,110
439145,100,111
439155,100,110
439165,100,111
439175,100,110
439185,100,108
439195,100,110
439205,100,110
439215,100,107
439225,100,109
439235,100,106
439245,100,108
439255,100,107
439265,100,105
439275,100,107
439285,100,105
439295,100,108
439305,100,107
439315,100,108
439325,100,105
439335,100,106
439345,100,105
439355,100,105
439365,100,104
439375,100,102
439385,100,101
439395,100,100
439405,100,99
439415,100,98
439425,100,99
439435,100,96
439445,100,97
439455,100,96
439465,100,94
439475,100,93
439485,100,92
439495,100,92
439505,100,91
439515,100,93
439525,100,93
439535,100,94
439545,100,93
439555,100,92
439565,100,92
439575,100,91
439585,100,92
439595,100,92
439605,100,92
439615,100,93
439625,100,92
439635,100,93
439645,100,93
439655,100,94
439665,100,94
439675,100,94
439685,100,93
439695,100,94
439705,100,94
439715,100,93
439725,100,94
439735,100,95
439745,100,95
439755,100,95
439765,100,96
439775,100,96
439785,100,97
439795,100,97
439805,100,97
439815,100,97
439825,100,97
439835,100,98
439845,100,98
439855,100,98
439865,100,98
439875,100,99
439885,100,100
439895,100,100
439905,100,101
439915,100,102
439925,100,102
439935,100,102
439945,100,103
439955,100,103
439965,100,104
439975,100,104
439985,100,105
439995,100,105
440005,100,105
440015,100,105
440025,100,105
440035,100,105
440045,100,105
440055,100,105
440065,100,105
440075,100,105
440085,100,104
440095,100,106
440105,100,106
440115,100,107
440125,100,107
440135,100,106
440145,100,106
440155,100,105
440165,100,104
440175,270,104
440185,270,104
440195,270,104
440205,270,104
440215,270,105
440225,270,106
440235,270,109
440245,270,111
440255,270,109
440265,270,111
440275,270,109
440285,270,110
440295,270,109
440305,270,109
440315,270,109
440325,270,109
440335,270,110
440345,270,109
440355,270,142
440365,270,114
440375,270,169
440385,270,155
440395,270,187
440405,270,185
440415,270,202
440425,270,210
440435,270,207
440445,270,232
440455,270,219
440465,270,237
440475,270,230
440485,270,239
440495,270,241
440505,270,242
440515,270,252
440525,270,245
440535,270,255
440545,270,252
440555,270,250
440565,270,253
440575,270,256
440585,250,261
440595,250,262
440605,250,267
440615,250,267
440625,250,272
440635,250,273
440645,250,272
440655,250,267
440665,250,269
440675,250,270
440685,250,266
440695,250,265
440705,250,271
440715,250,255
440725,250,255
440735,250,238
440745,250,242
440755,250,233
440765,250,226
440775,250,223
440785,250,210
440795,250,211
440805,250,205
440815,250,205
440825,250,205
440835,250,206
440845,250,207
440855,250,209
440865,250,208
440875,250,210
