Rythme machine : 20 respiration / min
Rythme inspiration spontanée : 12 respiration / min

temps (ms), commande pression (mmH2O), pression mesurée(mmH2O)
11160,270,2
11170,270,1
11180,270,2
11190,270,2
11200,270,3
11210,270,1
11220,270,2
11230,270,1
11240,270,1
11250,270,3
11260,270,1
11270,270,1
11280,270,2
11290,270,2
11300,270,1
11310,270,2
11320,270,1
11330,270,2
11340,270,1
11350,270,0
11360,270,0
11370,270,0
11380,270,0
11390,270,0
11400,270,0
11410,270,2
11420,270,0
11430,270,2
11440,270,0
11450,270,1
11460,270,12
11470,270,5
11480,270,21
11490,270,20
11500,270,28
11510,270,31
11520,270,35
11530,270,41
11540,270,48
11550,270,48
11560,270,57
11570,270,60
11580,270,66
11590,270,66
11600,270,74
11610,270,77
11620,270,87
11630,270,87
11640,270,88
11650,270,97
11660,270,97
11670,270,102
11680,270,107
11690,270,105
11700,270,111
11710,270,115
11720,270,118
11730,270,124
11740,270,121
11750,270,129
11760,270,134
11770,270,126
11780,270,136
11790,270,142
11800,270,135
11810,270,146
11820,270,144
11830,270,155
11840,270,149
11850,270,161
11860,270,159
11870,270,162
11880,270,162
11890,270,171
11900,270,169
11910,270,174
11920,270,171
11930,270,179
11940,270,176
11950,270,191
11960,250,178
11970,250,190
11980,250,191
11990,250,191
12000,250,194
12010,250,197
12020,250,191
12030,250,194
12040,250,201
12050,250,197
12060,250,194
12070,250,193
12080,250,191
12090,250,189
12100,250,182
12110,250,177
12120,250,164
12130,250,164
12140,250,152
12150,250,147
12160,100,137
12170,100,139
12180,100,135
12190,100,136
12200,100,136
12210,100,138
12220,100,139
12230,100,141
12240,100,140
12250,100,141
12260,100,140
12270,100,140
12280,100,141
12290,100,140
12300,100,140
12310,100,139
12320,100,139
12330,100,140
12340,100,140
12350,100,140
12360,100,140
12370,100,140
12380,100,140
12390,100,140
12400,100,140
12410,100,140
12420,100,140
12430,100,139
12440,100,140
12450,100,139
12460,100,138
12470,100,134
12480,100,130
12490,100,130
12500,100,126
12510,100,125
12520,100,123
12530,100,125
12540,100,125
12550,100,125
12560,100,126
12570,100,121
12580,100,122
12590,100,119
12600,100,118
12610,100,118
12620,100,117
12630,100,114
12640,100,116
12650,100,112
12660,100,113
12670,100,112
12680,100,112
12690,100,111
12700,100,111
12710,100,111
12720,100,110
12730,100,109
12740,100,110
12750,100,109
12760,100,108
12770,100,109
12780,100,107
12790,100,106
12800,100,108
12810,100,105
12820,100,107
12830,100,106
12840,100,105
12850,100,107
12860,100,105
12870,100,108
12880,100,104
12890,100,106
12900,100,104
12910,100,105
12920,100,102
12930,100,105
12940,100,103
12950,100,101
12960,100,103
12970,100,102
12980,100,103
12990,100,101
13000,100,102
13010,100,101
13020,100,102
13030,100,100
13040,100,100
13050,100,101
13060,100,101
13070,100,100
13080,100,100
13090,100,98
13100,100,99
13110,100,99
13120,100,100
13130,100,98
13140,100,98
13150,100,98
13160,100,98
13170,100,98
13180,100,98
13190,100,99
13200,100,98
13210,100,98
13220,100,97
13230,100,98
13240,100,97
13250,100,98
13260,100,97
13270,100,97
13280,100,96
13290,100,97
13300,100,96
13310,100,96
13320,100,96
13330,100,95
13340,100,96
13350,100,95
13360,100,95
13370,100,95
13380,100,96
13390,100,97
13400,100,97
13410,100,97
13420,100,96
13430,100,95
13440,100,96
13450,100,95
13460,100,95
13470,100,95
13480,100,96
13490,100,95
13500,100,96
13510,100,96
13520,100,95
13530,100,96
13540,100,95
13550,100,95
13560,100,95
13570,100,95
13580,100,96
13590,100,96
13600,100,96
13610,100,96
13620,100,96
13630,100,96
13640,100,96
13650,100,96
13660,100,95
13670,100,96
13680,100,95
13690,100,96
13700,100,96
13710,100,96
13720,100,95
13730,100,95
13740,100,96
13750,100,97
13760,100,97
13770,100,96
13780,100,96
13790,100,96
13800,100,97
13810,100,97
13820,100,97
13830,100,96
13840,100,96
13850,100,96
13860,100,97
13870,100,97
13880,100,96
13890,100,96
13900,100,96
13910,100,96
13920,100,97
13930,100,96
13940,100,97
13950,100,96
13960,100,97
13970,100,97
13980,100,97
13990,100,96
14000,100,96
14010,100,97
14020,100,97
14030,100,97
14040,100,97
14050,100,96
14060,100,96
14070,100,97
14080,100,97
14090,100,97
14100,100,98
14110,100,96
14120,100,96
14130,100,97
14140,100,97
14150,100,97
BLOWER +20
14160,270,97
14170,270,96
14180,270,97
14190,270,97
14200,270,98
14210,270,96
14220,270,97
14230,270,97
14240,270,96
14250,270,97
14260,270,98
14270,270,98
14280,270,97
14290,270,97
14300,270,97
14310,270,97
14320,270,97
14330,270,103
14340,270,130
14350,270,129
14360,270,150
14370,270,165
14380,270,174
14390,270,184
14400,270,191
14410,270,186
14420,270,205
14430,270,204
14440,270,206
14450,270,208
14460,270,220
14470,270,223
14480,270,226
14490,270,225
14500,270,232
14510,270,228
14520,270,229
14530,270,228
14540,270,236
14550,270,235
14560,270,241
14570,270,240
14580,270,247
14590,270,241
14600,270,248
14610,270,251
14620,270,251
14630,270,258
14640,270,250
14650,270,254
14660,270,256
14670,250,261
14680,250,259
14690,250,268
14700,250,266
14710,250,263
14720,250,261
14730,250,268
14740,250,265
14750,250,271
14760,250,264
14770,250,267
14780,250,261
14790,250,256
14800,250,259
14810,250,249
14820,250,245
14830,250,240
14840,250,235
14850,250,226
14860,250,221
14870,250,214
14880,250,218
14890,250,209
14900,250,213
14910,250,211
14920,250,215
14930,250,214
14940,250,216
14950,250,215
14960,250,216
14970,250,215
14980,250,215
14990,250,216
15000,250,215
15010,250,215
15020,250,215
15030,250,215
15040,250,214
15050,250,216
15060,250,215
15070,250,215
15080,250,214
15090,250,216
15100,250,215
15110,250,214
15120,250,215
15130,250,214
15140,250,215
15150,250,215
15160,100,215
15170,100,215
15180,100,215
15190,100,214
15200,100,216
15210,100,215
15220,100,215
15230,100,215
15240,100,214
15250,100,215
15260,100,214
15270,100,215
15280,100,215
15290,100,215
15300,100,214
15310,100,215
15320,100,214
15330,100,215
15340,100,204
15350,100,187
15360,100,182
15370,100,162
15380,100,165
15390,100,153
15400,100,152
15410,100,146
15420,100,147
15430,100,144
15440,100,145
15450,100,145
15460,100,143
15470,100,146
15480,100,146
15490,100,144
15500,100,143
15510,100,143
15520,100,141
15530,100,142
15540,100,139
15550,100,141
15560,100,136
15570,100,140
15580,100,135
15590,100,138
15600,100,135
15610,100,134
15620,100,133
15630,100,132
15640,100,133
15650,100,133
15660,100,133
15670,100,133
15680,100,131
15690,100,131
15700,100,129
15710,100,128
15720,100,128
15730,100,127
15740,100,127
15750,100,126
15760,100,127
15770,100,126
15780,100,126
15790,100,126
15800,100,124
15810,100,124
15820,100,123
15830,100,122
15840,100,121
15850,100,122
15860,100,121
15870,100,121
15880,100,121
15890,100,120
15900,100,121
15910,100,119
15920,100,119
15930,100,118
15940,100,119
15950,100,117
15960,100,116
15970,100,116
15980,100,117
15990,100,115
16000,100,114
16010,100,115
16020,100,116
16030,100,115
16040,100,114
16050,100,115
16060,100,112
16070,100,112
16080,100,112
16090,100,112
16100,100,112
16110,100,112
16120,100,111
16130,100,111
16140,100,111
16150,100,111
16160,100,109
16170,100,109
16180,100,111
16190,100,108
16200,100,108
16210,100,108
16220,100,106
16230,100,108
16240,100,107
16250,100,107
16260,100,108
16270,100,107
16280,100,107
16290,100,105
16300,100,106
16310,100,105
16320,100,105
16330,100,105
16340,100,105
16350,100,105
16360,100,103
16370,100,105
16380,100,103
16390,100,104
16400,100,103
16410,100,103
16420,100,102
16430,100,102
16440,100,103
16450,100,102
16460,100,102
16470,100,101
16480,100,101
16490,100,102
16500,100,100
16510,100,100
16520,100,100
16530,100,100
16540,100,100
16550,100,100
16560,100,100
16570,100,99
16580,100,98
16590,100,99
16600,100,99
16610,100,99
16620,100,99
16630,100,99
16640,100,98
16650,100,98
16660,100,98
16670,100,98
16680,100,98
16690,100,98
16700,100,98
16710,100,97
16720,100,97
16730,100,97
16740,100,97
16750,100,97
16760,100,96
16770,100,97
16780,100,95
16790,100,97
16800,100,95
16810,100,95
16820,100,95
16830,100,95
16840,100,94
16850,100,96
16860,100,96
16870,100,97
16880,100,98
16890,100,97
16900,100,96
16910,100,97
16920,100,96
16930,100,96
16940,100,95
16950,100,96
16960,100,95
16970,100,96
16980,100,96
16990,100,94
17000,100,95
17010,100,96
17020,100,96
17030,100,96
17040,100,95
17050,100,95
17060,100,95
17070,100,97
17080,100,96
17090,100,96
17100,100,96
17110,100,96
17120,100,96
17130,100,95
17140,100,95
17150,100,96
17160,270,97
17170,270,97
17180,270,96
17190,270,97
17200,270,96
17210,270,98
17220,270,98
17230,270,98
17240,270,98
17250,270,98
17260,270,98
17270,270,98
17280,270,98
17290,270,98
17300,270,98
17310,270,98
17320,270,98
17330,270,102
17340,270,132
17350,270,127
17360,270,146
17370,270,170
17380,270,173
17390,270,191
17400,270,185
17410,270,204
17420,270,203
17430,270,207
17440,270,222
17450,270,211
17460,270,227
17470,270,217
17480,270,226
17490,270,232
17500,270,234
17510,270,236
17520,270,233
17530,270,235
17540,270,232
17550,270,237
17560,270,249
17570,270,243
17580,270,242
17590,270,246
17600,270,241
17610,270,250
17620,270,252
17630,270,253
17640,270,251
17650,250,270
17660,250,251
17670,250,263
17680,250,262
17690,250,265
17700,250,262
17710,250,271
17720,250,269
17730,250,265
17740,250,270
17750,250,265
17760,250,270
17770,250,260
17780,250,254
17790,250,250
17800,250,248
17810,250,242
17820,250,229
17830,250,227
17840,250,218
17850,250,212
17860,250,212
17870,250,208
17880,250,211
17890,250,209
17900,250,211
17910,250,211
17920,250,214
17930,250,212
17940,250,213
17950,250,212
17960,250,212
17970,250,212
17980,250,212
17990,250,212
18000,250,213
18010,250,212
18020,250,212
18030,250,212
18040,250,212
18050,250,212
18060,250,212
18070,250,212
18080,250,212
18090,250,212
18100,250,212
18110,250,212
18120,250,213
18130,250,212
18140,250,212
18150,250,212
18160,100,212
18170,100,212
18180,100,212
18190,100,212
18200,100,212
18210,100,212
18220,100,212
18230,100,212
18240,100,212
18250,100,212
18260,100,212
18270,100,211
18280,100,212
18290,100,212
18300,100,212
18310,100,212
18320,100,212
18330,100,212
18340,100,202
18350,100,185
18360,100,179
18370,100,160
18380,100,162
18390,100,151
18400,100,151
18410,100,145
18420,100,145
18430,100,143
18440,100,144
18450,100,144
18460,100,142
18470,100,146
18480,100,144
18490,100,145
18500,100,143
18510,100,140
18520,100,141
18530,100,139
18540,100,139
18550,100,138
18560,100,137
18570,100,137
18580,100,135
18590,100,137
18600,100,135
18610,100,136
18620,100,132
18630,100,134
18640,100,130
18650,100,133
18660,100,130
18670,100,131
18680,100,131
18690,100,128
18700,100,129
18710,100,127
18720,100,128
18730,100,127
18740,100,126
18750,100,127
18760,100,125
18770,100,126
18780,100,125
18790,100,125
18800,100,124
18810,100,122
18820,100,121
18830,100,120
18840,100,120
18850,100,121
18860,100,121
18870,100,121
18880,100,120
18890,100,120
18900,100,119
18910,100,118
18920,100,118
18930,100,118
18940,100,116
18950,100,117
18960,100,116
18970,100,115
18980,100,117
18990,100,115
19000,100,116
19010,100,115
19020,100,114
19030,100,113
19040,100,112
19050,100,112
19060,100,114
19070,100,113
19080,100,113
19090,100,112
19100,100,112
19110,100,110
19120,100,112
19130,100,110
19140,100,111
19150,100,110
19160,100,108
19170,100,109
19180,100,109
19190,100,107
19200,100,109
19210,100,107
19220,100,108
19230,100,108
19240,100,106
19250,100,107
19260,100,105
19270,100,106
19280,100,106
19290,100,106
19300,100,105
19310,100,105
19320,100,105
19330,100,104
19340,100,105
19350,100,104
19360,100,105
19370,100,102
19380,100,103
19390,100,103
19400,100,102
19410,100,104
19420,100,100
19430,100,103
19440,100,101
19450,100,102
19460,100,101
19470,100,101
19480,100,102
19490,100,99
19500,100,101
19510,100,100
19520,100,100
19530,100,101
19540,100,100
19550,100,100
19560,100,99
19570,100,99
19580,100,98
19590,100,99
19600,100,99
19610,100,98
19620,100,98
19630,100,98
19640,100,98
19650,100,98
19660,100,98
19670,100,98
19680,100,98
19690,100,98
19700,100,97
19710,100,96
19720,100,97
19730,100,96
19740,100,98
19750,100,98
19760,100,97
19770,100,96
19780,100,96
19790,100,95
19800,100,96
19810,100,95
19820,100,96
19830,100,97
19840,100,96
19850,100,97
19860,100,96
19870,100,97
19880,100,95
19890,100,96
19900,100,96
19910,100,96
19920,100,96
19930,100,96
19940,100,95
19950,100,96
19960,100,95
19970,100,97
19980,100,97
19990,100,97
20000,100,97
20010,100,95
20020,100,96
20030,100,96
